input_ville,input_pays,input_aeroport,climat_details,hebergement_moyen_eur_nuit,periode_recommandee,prix_vol_par_mois,tags
Salvador da Bahia,Brazil,Paris (CDG),"Climat tropical équatorial, chaud et humide toute l'année. Températures oscillent entre 22°C et 31°C. Saison sèche de septembre à mars avec moins de précipitations et plus d'ensoleillement. Saison des pluies d'avril à août, avec des précipitations importantes mais des températures qui restent élevées.",90,"Septembre à Mars (saison sèche, températures agréables), avec le Carnaval en Février.","[930, 879, 879, 405, 879, 879, 879, 879, 690, 879, 879, 1000]","[""Culture afro-brésilienne"", ""Architecture coloniale"", ""Pelourinho (UNESCO)"", ""Plages"", ""Carnaval"", ""Musique"", ""Gastronomie""]"
Bujumbura,Burundi,Paris (CDG),"Bujumbura bénéficie d'un climat tropical chaud toute l'année. La saison sèche s'étend de juin à septembre, avec des températures maximales autour de 27-29°C et très peu de précipitations. La saison des pluies, d'octobre à mai, connaît des précipitations plus importantes, particulièrement en mars, avril et novembre.",40,"Juin à Août est la meilleure période pour visiter Bujumbura, offrant un climat sec et idéal pour les activités de plein air. Février est également recommandé pour des conditions météorologiques optimales.","[684, 684, 684, 684, 700, 800, 985, 1247, 900, 610, 900, 940]","[""Culture"", ""Nature"", ""Lac Tanganyika"", ""Histoire"", ""Aventure""]"
Yaoundé,Cameroon,Paris (CDG),"Climat tropical, tempéré par l'altitude. La saison sèche s'étend de novembre à mars, offrant des journées ensoleillées et des températures agréables (moyenne de 27°C en janvier-février, pouvant atteindre 33°C). La saison des pluies, d'avril à octobre, est plus fraîche et humide avec des précipitations abondantes, particulièrement d'août à octobre.",167,Novembre à Mars,"[750, 720, 650, 600, 550, 580, 620, 680, 600, 580, 500, 800]","[""Culture"", ""Ville"", ""Nature"", ""Patrimoine""]"
Galway,Ireland,Paris (CDG),"Climat océanique, avec des hivers doux et pluvieux, et des étés doux et relativement pluvieux. Météo variable, alternant pluie, nuages et éclaircies. Vents fréquents.",190,Juin à Août,"[75, 80, 100, 110, 120, 150, 160, 155, 48, 90, 60, 70]","[""Culture"", ""Musique traditionnelle"", ""Paysages côtiers"", ""Wild Atlantic Way"", ""Cliffs of Moher"", ""Pubs"", ""Histoire"", ""Festivals""]"
Calgary,Canada,Paris (CDG),"Calgary bénéficie d'un climat continental avec des hivers glaciaux (moyenne de -6.3°C en janvier) et des étés doux à agréablement chauds (moyenne de 17.4°C en juillet). La ville est située à 1100 mètres d'altitude, à l'est des montagnes Rocheuses. Les précipitations sont modérées (425 mm/an), avec juin étant le mois le plus pluvieux. Calgary est la ville la plus ensoleillée du Canada et peut connaître des vents chauds appelés 'chinook' en hiver.",110,Juin à Août,"[398, 398, 398, 398, 398, 398, 404, 409, 398, 550, 570, 536]","[""Montagnes Rocheuses"", ""Ski"", ""Randonnée"", ""Culture de l'Ouest"", ""Rodeo"", ""Parcs Nationaux"", ""Ville"", ""Sports d'hiver"", ""Nature""]"
Halifax,Canada,Paris (CDG),"Les étés à Halifax sont confortables, avec des températures moyennes allant de 12°C à 24°C. Les hivers sont froids, glacials, neigeux et venteux, avec des températures entre -8°C et 1°C. Le climat est partiellement nuageux toute l'année, avec des précipitations constantes, les mois d'octobre à décembre étant généralement les plus pluvieux.",142,Juin à Septembre,"[550, 570, 620, 700, 780, 900, 950, 930, 850, 750, 650, 1000]","[""Histoire"", ""Culture"", ""Bord de mer"", ""Gastronomie"", ""Nature"", ""Musées""]"
Sal,Cape Verde,Paris (CDG),"Le climat de Sal est tropical aride, très ensoleillé toute l'année avec des températures stables et agréables, variant généralement entre 20 et 30°C. Les précipitations sont faibles et concentrées de juillet à octobre.",180,"Presque toute l'année, particulièrement de janvier à juin et d'octobre à décembre.","[350, 400, 280, 562, 477, 450, 500, 550, 250, 380, 490, 625]","[""plage"", ""soleil"", ""sports nautiques"", ""kitesurf"", ""surf"", ""plongée"", ""détente"", ""aventure"", ""nature"", ""salines"", ""culture locale""]"
Bath,United Kingdom,Paris (CDG),"Climat tempéré et océanique, plus humide et doux que la moyenne du Royaume-Uni. Les étés sont confortables et partiellement nuageux, avec des températures maximales moyennes de 21°C en juillet et août. Les hivers sont longs, très froids, venteux et nuageux, avec des températures pouvant descendre à 1-2°C.",290,De Mai à Septembre pour un climat agréable; Décembre pour le marché de Noël.,"[70, 60, 90, 150, 120, 130, 140, 135, 125, 100, 70, 80]","[""Historique"", ""Culturel"", ""Thermal"", ""Architecture Géorgienne"", ""Musées"", ""Spa"", ""Patrimoine UNESCO""]"
Pristina,Kosovo,Paris (CDG),"Pristina bénéficie d'un climat continental humide, avec des étés chauds (pouvant atteindre 30°C ou plus) et des hivers froids et enneigés (températures moyennes en janvier autour de -0.6°C, avec des minimales descendant à -3°C ou moins). Le printemps et l'automne offrent des températures plus douces et agréables pour la visite. La ville reçoit en moyenne 864 mm de précipitations par an et environ 2909 heures d'ensoleillement annuellement.",60,Mai à Septembre,"[200, 125, 150, 225, 275, 275, 400, 450, 250, 200, 175, 300]","[""Culturel"", ""Historique"", ""Urbain"", ""Gastronomie"", ""Balkans""]"
Belgrade,Serbia,Paris (CDG),"Belgrade bénéficie d'un climat continental tempéré, avec des étés chauds et généralement dégagés (moyenne de 29°C en juillet et août) et des hivers très froids, neigeux et partiellement nuageux (moyenne de 5°C en janvier, avec des minimales autour de -1°C). Les températures varient généralement de -2°C à 29°C sur l'année. Les intersaisons sont courtes. Les mois de mai et juin sont souvent les plus pluvieux.",70,Mai à Octobre,"[120, 130, 180, 220, 250, 280, 320, 300, 250, 190, 100, 150]","[""Histoire"", ""Culture"", ""Vie nocturne"", ""Danube"", ""Forteresse"", ""Musées"", ""Économique""]"
Dallas,United States,Paris (CDG),"Le climat de Dallas est subtropical, avec des étés très chauds et humides (températures pouvant dépasser 40°C) et des hivers doux mais frisquets, avec des températures minimales autour de 4°C. Le printemps et l'automne offrent des températures plus agréables. Mai est souvent le mois le plus pluvieux, et la région est sujette aux orages et parfois aux tornades entre avril et juin.",139,Printemps (Avril à Mai) et Automne (Septembre à Octobre),"[540, 560, 650, 750, 800, 950, 1100, 1000, 850, 700, 600, 650]","[""Culture"", ""Musées"", ""Football Américain"", ""Shopping"", ""Histoire""]"
Guilin,China,Paris (CDG),"Climat subtropical humide, avec quatre saisons distinctes. Hivers doux, étés chauds, étouffants et pluvieux. La saison des pluies s'étend de mars à août, avec un pic en mai et juin. Les températures moyennes en janvier sont d'environ 8°C et en juillet d'environ 28°C.",57,De mi-octobre à début novembre (frais et sec) et de fin mars à mai (température agréable). Septembre à novembre est également une période idéale.,"[620, 560, 700, 880, 850, 920, 980, 950, 850, 890, 750, 680]","[""paysages karstiques"", ""croisière Li River"", ""randonnée"", ""culture locale"", ""rizières en terrasses"", ""villages anciens""]"
Hallstatt,Austria,Paris (CDG),"Hallstatt bénéficie d'un climat tempéré avec des étés frais et des hivers froids. Les températures moyennes varient de -8°C (minimales nocturnes) à 1°C en janvier, et de 10°C (minimales nocturnes) à 21°C en juillet. Les mois les plus pluvieux sont juin, juillet et août, et les chutes de neige sont fréquentes en hiver. L'humidité est élevée tout au long de l'année.",200,"Le printemps (Avril à Mai) et l'automne (Septembre à Octobre) offrent des températures agréables et une affluence touristique modérée, idéale pour explorer les paysages fleuris ou les couleurs de l'automne. L'été (Juin à Août) est parfait pour profiter du lac et des activités de plein air, mais c'est la haute saison avec des foules importantes et des prix plus élevés. L'hiver (Décembre à Mars) est féérique avec ses paysages enneigés et moins de touristes, bien que certaines attractions puissent avoir des horaires réduits ou être fermées.","[260, 122, 150, 225, 275, 325, 380, 380, 300, 275, 225, 130]","[""Village pittoresque"", ""Patrimoine UNESCO"", ""Lac"", ""Montagnes"", ""Mine de sel"", ""Randonnée"", ""Culture""]"
Nicosia,Cyprus,Paris (CDG),"Nicosie a un climat méditerranéen caractérisé par des étés très chauds et secs, avec des températures maximales pouvant atteindre 35°C à 40°C en juillet et août. Les hivers sont doux, avec des températures moyennes d'environ 15°C en janvier, et concentrent la majorité des précipitations annuelles.",80,Avril à Juin et Septembre à Novembre,"[283, 270, 286, 320, 380, 450, 552, 525, 400, 350, 129, 280]","[""Histoire"", ""Culture"", ""Musées"", ""Vieille ville"", ""Gastronomie"", ""Architecture""]"
San José,Costa Rica,Paris (CDG),"San José bénéficie d'un climat tropical humide, souvent qualifié de 'printemps perpétuel', avec des températures agréables oscillant entre 17°C et 27°C toute l'année. La saison sèche s'étend de décembre à avril, offrant un temps ensoleillé. La saison humide, de mai à novembre, est caractérisée par des matinées ensoleillées suivies d'averses intenses l'après-midi.",60,Décembre à Avril (idéal Janvier à Mars),"[850, 950, 600, 900, 1220, 950, 1000, 1200, 780, 850, 800, 1100]","[""Nature"", ""Volcans"", ""Écotourisme"", ""Pura Vida"", ""Faune & Flore""]"
Havana,Cuba,Paris (CDG),"La Havane bénéficie d'un climat tropical. La meilleure période, de novembre à avril (saison sèche), offre des températures agréables (entre 22 et 29 °C), un air limpide et une humidité modérée. La saison humide, de mai à octobre, est caractérisée par une chaleur tropicale, des averses intenses et un risque cyclonique plus élevé de juillet à octobre.",75,Novembre à Avril,"[755, 755, 800, 911, 600, 550, 650, 700, 650, 650, 750, 701]","[""Culture"", ""Histoire"", ""Plages"", ""Musique"", ""Architecture coloniale""]"
Roseau,Dominica,Paris (CDG),"La Dominique bénéficie d'un climat tropical, chaud et humide toute l'année. Les températures moyennes à Roseau varient de 26°C de janvier à mars à environ 28°C de mai à octobre. Les pluies se manifestent sous forme d'averses ou d'orages, intenses mais généralement courtes, laissant place au soleil. La côte ouest, où se trouve Roseau, est plus abritée.",85,"De janvier à avril, pendant la saison sèche, bien que la période de décembre à mai soit également favorable. Il est préférable d'éviter la saison des pluies et des ouragans de juin à novembre.","[900, 850, 800, 800, 750, 573, 950, 1203, 700, 750, 800, 900]","[""nature"", ""randonnée"", ""cascades"", ""plongée"", ""sources chaudes"", ""observation baleines"", ""forêt tropicale"", ""plages""]"
Carcassonne,France,Paris (CDG),"Carcassonne possède un climat subtropical humide, presque méditerranéen, avec des hivers doux et des étés chauds et ensoleillés. Les températures moyennes varient de 10°C en janvier à 29°C en juillet. La ville est connue pour être venteuse. Les précipitations annuelles sont d'environ 650 mm, avec des mois plus pluvieux en novembre, décembre et avril.",107,"Avril à Septembre (pour le beau temps), Mars, Avril et Octobre (pour éviter les foules)","[120, 130, 100, 160, 180, 250, 250, 250, 85, 200, 100, 150]","[""Cité médiévale"", ""Histoire"", ""Culture"", ""Famille"", ""Canal du Midi"", ""Occitanie""]"
Lagos,Portugal,Paris (CDG),"Climat méditerranéen avec plus de 300 jours d'ensoleillement par an. Les étés (juin-août) sont chauds, secs et dégagés, avec des températures atteignant 29-32°C. Les hivers (décembre-février) sont frais et partiellement nuageux, avec des températures diurnes autour de 16°C et nocturnes d'environ 8°C. La température varie généralement de 10°C à 26°C.",110,Mai à Octobre (idéalement Juin et Septembre pour moins de foule),"[120, 100, 90, 150, 180, 250, 300, 350, 220, 160, 110, 200]","[""Plages"", ""Falaises"", ""Grottes marines"", ""Kayak"", ""Bateau"", ""Centre historique"", ""Randonnée"", ""Sports nautiques"", ""Détente"", ""Gastronomie""]"
Alexandria,Egypt,Paris (CDG),"Alexandrie bénéficie d'un climat méditerranéen, caractérisé par des hivers doux et des étés longs, chauds et ensoleillés. Les températures moyennes varient de 18°C en janvier à 31°C en août. Les précipitations sont rares en été et plus fréquentes en hiver.",85,Mars à Juin et Septembre à Novembre,"[364, 390, 410, 440, 470, 528, 654, 610, 490, 460, 410, 430]","[""Culture"", ""Histoire"", ""Sites antiques"", ""Bord de mer"", ""Musées""]"
Tallinn,Estonia,Paris (CDG),"Tallinn connaît des étés confortables et partiellement nuageux, avec des températures moyennes fluctuant de 19°C à 22°C en juin et juillet. Les hivers sont longs, glacials, neigeux et nuageux, avec des températures moyennes allant de -1°C à -7°C. Le climat est de type baltique, semi-continental. Des nuits blanches se produisent du 14 mai au 29 juillet.",85,Juin à Août,"[180, 110, 150, 180, 200, 250, 300, 280, 220, 170, 140, 160]","[""culture"", ""histoire"", ""vieille ville"", ""architecture médiévale"", ""musées"", ""hiver"", ""été"", ""nuits blanches"", ""Europe du Nord""]"
Paris,France,Paris (CDG),"Paris jouit d'un climat océanique tempéré, avec des hivers froids mais généralement pas rigoureux (moyenne de 4.6°C en janvier) et des étés agréablement chauds (moyenne de 20.5°C en juillet). Les précipitations sont régulières tout au long de l'année, variant de 40 à 60 mm par mois.",137,"Le printemps (mars à mai) et l'automne (septembre à octobre) sont les meilleures périodes pour visiter Paris, avec mai et septembre souvent cités comme les mois idéaux pour des températures douces et moins de foule.","[131, 131, 177, 177, 139, 140, 150, 196, 160, 145, 125, 155]","[""culture"", ""romance"", ""musées"", ""gastronomie"", ""shopping"", ""histoire"", ""art"", ""monuments"", ""city trip"", ""mode""]"
Puglia,Italy,Paris (CDG),"Le climat des Pouilles est de type méditerranéen, caractérisé par des étés chauds et secs, et des hivers doux et ensoleillés. Les températures moyennes en hiver sont autour de 10°C, tandis qu'en été, elles varient généralement entre 25°C et 35°C, avec des pics pouvant dépasser 40°C lors de vagues de chaleur africaines. Le climat est plus tempéré sur la côte adriatique et plus aride dans les terres.",110,Avril à Juin et Septembre à Octobre,"[300, 200, 110, 70, 60, 80, 120, 180, 90, 140, 150, 180]","[""plages"", ""villages blancs"", ""trulli"", ""gastronomie"", ""architecture baroque""]"
Queenstown,New Zealand,Paris (CDG),"Queenstown a un climat océanique. Les étés (décembre-février) sont frais avec des températures maximales moyennes autour de 16-20°C. Les hivers (juin-août) sont courts et froids, avec des maximales autour de 6-8°C et des minimales pouvant atteindre -1°C. Les précipitations sont présentes toute l'année, et la neige tombe de fin mai à début août.",190,"Décembre à Mars (été), Juillet à Septembre (hiver pour le ski)","[1550, 1500, 1300, 1350, 1400, 1450, 1600, 1650, 1500, 1450, 1350, 1450]","[""aventure"", ""ski"", ""randonnée"", ""nature"", ""lac"", ""montagne"", ""vignobles""]"
Biarritz,France,Paris (CDG),"Biarritz bénéficie d'un climat océanique tempéré, caractérisé par des hivers doux et des étés chauds mais non caniculaires. La région est connue pour être assez pluvieuse, notamment en raison de sa proximité avec les Pyrénées.",177,"De mai à septembre est la meilleure période pour visiter Biarritz, avec les mois de juillet et août étant idéaux pour la plage et la baignade. Le printemps (mai-juin) et le début de l'automne (septembre-octobre) sont également agréables pour éviter la foule estivale et profiter d'une météo clémente.","[130, 135, 160, 170, 210, 220, 260, 270, 230, 180, 140, 150]","[""plage"", ""surf"", ""thalassothérapie"", ""bien-être"", ""Pays Basque"", ""gastronomie"", ""activités nautiques""]"
Libreville,Gabon,Paris (CDG),Libreville bénéficie d'un climat tropical de mousson avec une forte humidité toute l'année. Il y a une période chaude et pluvieuse de Septembre à Mai et une période relativement fraîche et sèche de Juin à Août. Les températures moyennes varient généralement entre 22°C et 32°C.,170,"Juin à Septembre (saison sèche, particulièrement Juillet et Août pour moins de pluies), et Décembre à Janvier (petite saison sèche)","[950, 900, 1000, 1050, 1000, 1100, 1162, 1225, 866, 980, 920, 1150]","[""Plages"", ""Nature"", ""Culture"", ""Faune"", ""Voyage d'affaires""]"
Sintra,Portugal,Paris (CDG),"Climat méditerranéen avec des étés chauds et secs (18-28°C) et des hivers frais et humides (9-16°C). Printemps et automne doux (13-22°C) et agréables. Les mois les plus pluvieux sont avril, novembre et juillet.",147,Avril à Juin et Septembre à Octobre,"[83, 90, 105, 120, 135, 160, 200, 242, 180, 140, 100, 95]","[""Palais"", ""Châteaux"", ""Jardins"", ""Patrimoine UNESCO"", ""Romantisme"", ""Nature"", ""Randonnée""]"
Hvar,Croatia,Paris (CDG),"Climat méditerranéen avec des étés chauds et ensoleillés (températures moyennes de 26-30°C en juillet-août), et des hivers doux et pluvieux (températures moyennes de 12-13°C en janvier-février). Les mois de juillet et août sont les plus secs, tandis que novembre, octobre et décembre sont les plus pluvieux.",185,Mai à Septembre,"[265, 230, 230, 280, 320, 380, 420, 420, 330, 180, 250, 370]","[""Vie nocturne"", ""Plages"", ""Histoire"", ""Culture"", ""Paysages méditerranéens"", ""Navigation"", ""Détente""]"
Rostock,Germany,Paris (CDG),"Le climat de Rostock est sub-océanique, humide et pluvieux, influencé par les courants de l'Atlantique et de la mer du Nord. Les hivers sont froids et gris, tandis que les étés sont doux ou agréablement chauds.",95,Mi-mai à mi-septembre,"[250, 240, 280, 320, 350, 380, 400, 390, 360, 300, 260, 270]","[""Ville hanséatique"", ""Mer Baltique"", ""Histoire"", ""Architecture gothique en brique"", ""Port"", ""Warnemünde""]"
Zakynthos,Greece,Paris (CDG),"Le climat de Zakynthos est méditerranéen, caractérisé par des hivers doux et pluvieux, et des étés chauds, ensoleillés et secs. Les précipitations sont concentrées d'octobre à mars, avec très peu de pluie de mai à septembre. Les températures moyennes varient de 10,9 °C en janvier (le mois le plus froid) à 27,1 °C en août (le mois le plus chaud).",75,"De mai à octobre pour des températures agréables. Juin à mi-septembre est idéal pour les activités balnéaires, tandis que mai et début octobre sont parfaits pour les excursions et la randonnée afin d'éviter la chaleur estivale.","[325, 280, 250, 195, 230, 350, 450, 480, 380, 280, 200, 400]","[""Plage du Naufrage"", ""Grottes Bleues"", ""Île de Marathonisi"", ""Tortues Caretta Caretta"", ""Plongée"", ""Snorkeling"", ""Randonnée"", ""Couchers de soleil"", ""Parc Marin National"", ""Vie nocturne"", ""Plages de sable""]"
Reykjavík,Iceland,Paris (CDG),"Climat subpolaire océanique, caractérisé par des étés courts, frais et souvent nuageux (températures moyennes de 10-15°C en juillet) et des hivers longs, très froids, neigeux et venteux (températures moyennes de 0-2°C en janvier). Le temps est souvent instable et les chutes de neige se produisent généralement d'octobre à avril.",134,"Juin à Août pour les températures plus douces, le soleil de minuit et les activités de plein air; Octobre à Mars pour l'observation des aurores boréales et des tarifs potentiellement plus bas.","[199, 180, 132, 180, 105, 250, 350, 322, 104, 220, 160, 200]","[""Aurores boréales"", ""Nature"", ""Randonnée"", ""Volcans"", ""Sources thermales"", ""Soleil de minuit""]"
Jodhpur,India,Paris (CDG),"Jodhpur bénéficie d'un climat subtropical aride. La meilleure période s'étend d'octobre à mars, avec des journées agréables et des nuits fraîches. La saison chaude, d'avril à juillet, peut voir les températures dépasser 40°C. Une courte saison de mousson se déroule de juillet à mi-septembre, apportant de faibles précipitations et une humidité accrue.",40,Octobre à Mars,"[600, 650, 600, 500, 480, 480, 500, 500, 550, 600, 550, 550]","[""ville bleue"", ""Rajasthan"", ""forts"", ""palais"", ""culture"", ""désert"", ""marchés"", ""patrimoine""]"
Bandung,Indonesia,Paris (CDG),"Bandung bénéficie d'un climat tropical équatorial. La saison sèche s'étend d'avril à octobre, offrant un temps plus frais et ensoleillé, idéal pour les activités de plein air. La saison des pluies va d'octobre à mai. L'altitude de la ville tempère la chaleur, la rendant moins intense que dans d'autres grandes villes d'Indonésie. Les températures moyennes varient peu, autour de 23,7 °C en juillet (le mois le plus froid) et 24,7 °C en avril (le plus chaud). Les précipitations sont abondantes sur l'année.",45,Avril à Octobre,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Nature"", ""Culture"", ""Aventure""]"
Naples,Italy,Paris (CDG),"Naples bénéficie d'un climat méditerranéen caractérisé par des étés chauds et secs (températures moyennes autour de 26-31°C en août) et des hivers doux et pluvieux (températures moyennes autour de 9-13°C en janvier-février). C'est l'une des villes les plus ensoleillées d'Italie, et la neige est très rare.",135,Printemps (Avril à Juin) et Automne (Septembre à Octobre),"[100, 80, 100, 140, 160, 180, 200, 200, 170, 150, 120, 140]","[""Culture"", ""Gastronomie"", ""Histoire"", ""Vésuve"", ""Pompéi"", ""Côte Amalfitaine"", ""Plages""]"
Yamoussoukro,Ivory Coast,Paris (CDG),"Climat tropical, très chaud toute l'année. La saison sèche et très chaude s'étend de novembre à février, souvent marquée par l'Harmattan, un vent sec du Sahara. La saison des pluies va de mars à octobre. Les températures moyennes varient entre 19°C et 35°C, avec des maximales atteignant jusqu'à 37°C en février.",45,Novembre à Février,"[700, 650, 560, 680, 720, 800, 990, 960, 850, 750, 600, 700]","[""Culture"", ""Architecture"", ""Nature"", ""Histoire"", ""Faune"", ""Patrimoine""]"
Sapporo,Japan,Paris (CDG),"Climat semi-continental avec des hivers glacials et très neigeux, accumulant jusqu'à 5 mètres de poudreuse par an. Les étés sont relativement chauds, rafraîchissants avec une faible humidité et des précipitations occasionnelles.",95,"Avril à Octobre (pour la nature et les festivals), Décembre à Mars (pour le ski et les sports d'hiver)","[1000, 950, 817, 850, 1000, 1100, 1350, 1300, 1050, 900, 700, 750]","[""Ski"", ""Neige"", ""Nature"", ""Onsen"", ""Gastronomie"", ""Festivals"", ""Vie nocturne"", ""Culture"", ""Randonnée"", ""Parcs""]"
Almaty,Kazakhstan,Paris (CDG),"Climat continental humide. Étés chauds, secs et ensoleillés (températures > 23°C de fin mai à mi-septembre, max 29°C en juillet). Hivers glaciaux et neigeux (températures < 4°C de fin novembre à début mars, min -10°C en janvier). Précipitations modérées, plus importantes en mai (50mm) et juin, plus faibles en hiver (3mm en janvier).",90,Mai à Septembre,"[468, 353, 480, 550, 600, 700, 800, 850, 700, 550, 351, 380]","[""Nature"", ""Randonnée"", ""Culture"", ""Ski"", ""Gastronomie""]"
Luxembourg City,Luxembourg,Paris (CDG),"Climat continental tempéré avec des influences océaniques. Les étés sont agréables et partiellement nuageux, avec des températures moyennes maximales autour de 20-24°C en juillet et août. Les hivers sont froids, venteux et nuageux, avec des températures moyennes autour de 0-4°C en janvier et février. Les précipitations sont fréquentes tout au long de l'année.",160,"De mai à septembre, avec une préférence pour juin à août pour le beau temps. L'automne est idéal pour les couleurs des forêts.","[150, 100, 150, 250, 180, 180, 160, 180, 120, 150, 150, 190]","[""Histoire"", ""Culture"", ""Nature"", ""Châteaux"", ""Randonnée"", ""Vieille Ville""]"
San Cristóbal de las Casas,Mexico,Paris (CDG),"Le climat est subtropical tempéré toute l'année à San Cristóbal de las Casas, située à 2200 mètres d'altitude. La saison sèche s'étend de novembre à avril, avec des journées ensoleillées mais des nuits fraîches à froides (pouvant descendre près de 0°C en hiver). La saison des pluies va de mai à octobre, avec les mois de juin, juillet et septembre enregistrant le plus de précipitations. Les températures varient généralement entre 6°C et 23°C.",25,Novembre à Avril,"[799, 799, 818, 890, 920, 900, 950, 980, 900, 930, 980, 1056]","[""Culturel"", ""Colonial"", ""Marchés"", ""Artisanat"", ""Gastronomie"", ""Nature"", ""Pueblo Mágico"", ""Randonnée"", ""Excursions""]"
Riga,Latvia,Paris (CDG),"Riga a un climat continental humide. Les étés (Juin-Août) sont confortables, partiellement nuageux avec des températures moyennes maximales de 23°C en Juillet. Les hivers (Novembre-Mars) sont longs, glacials, neigeux, venteux et nuageux, avec des températures pouvant descendre à -30°C. Les précipitations sont plus importantes en été, Août étant l'un des mois les plus pluvieux.",110,"Mai à Septembre (Juin à Août pour le meilleur climat, Septembre pour les petits budgets)","[220, 120, 130, 140, 160, 125, 230, 230, 150, 160, 130, 180]","[""Vieille Ville UNESCO"", ""Architecture Art Nouveau"", ""Culture"", ""Gastronomie"", ""Mer Baltique"", ""Histoire""]"
Portland,United States,Paris (CDG),"Portland bénéficie d'un climat océanique aux influences méditerranéennes. Les étés sont courts, chauds, secs et majoritairement ensoleillés, avec des températures atteignant en moyenne 28 °C en août. Les hivers sont très froids, humides et couverts, avec une température moyenne de 2 °C en décembre. La ville reçoit environ 940 mm de précipitations par an.",150,Mai à Septembre,"[680, 680, 810, 590, 750, 800, 880, 880, 800, 750, 700, 700]","[""Nature"", ""Culture décalée"", ""Cafés"", ""Microbrasseries"", ""Gastronomie"", ""Randonnée"", ""Vignobles"", ""Librairies"", ""Jardins""]"
Ulaanbaatar,Mongolia,Paris (CDG),"Oulan-Bator a un climat continental extrême, avec des hivers très froids et secs (-28°C en moyenne) et des étés confortables mais courts (jusqu'à 24°C). C'est l'une des capitales les plus froides du monde, avec de faibles précipitations annuelles.",60,Juin à Août,"[780, 818, 797, 923, 950, 1050, 1250, 1209, 1050, 950, 760, 709]","[""culture mongole"", ""paysages steppiques"", ""monastères bouddhistes"", ""statue Gengis Khan"", ""nature sauvage"", ""randonnée"", ""patrimoine nomade""]"
Essaouira,Morocco,Paris (CDG),"Essaouira bénéficie d'un climat doux tout au long de l'année, avec des températures moyennes variant entre 18 et 22°C. La ville est surnommée la « Ville au Vent » ou « Cité des Alizés » en raison des vents dominants de l'océan Atlantique, ce qui la rend idéale pour les sports nautiques et offre une chaleur modérée même en été. Les précipitations sont rares, surtout au printemps et en été.",70,Avril à Octobre,"[170, 130, 124, 160, 180, 200, 280, 346, 100, 271, 150, 150]","[""plage"", ""sports nautiques"", ""médina"", ""culture"", ""détente"", ""gastronomie"", ""ville venteuse"", ""patrimoine UNESCO""]"
Pokhara,Nepal,Paris (CDG),"Pokhara connaît une saison sèche généralement chaude et dégagée d'octobre à mai, et une saison pluvieuse, très chaude et partiellement nuageuse, de juin à septembre. Les températures annuelles varient généralement de 8 °C à 32 °C. Les précipitations sont minimales en novembre (12mm) et maximales en juillet (775mm).",40,"Mars à Avril et Octobre à Novembre sont les meilleures périodes pour visiter Pokhara en raison d'un climat favorable, de températures douces et de vues dégagées sur les montagnes. Les mois de Février et Décembre offrent également des conditions agréables.","[850, 800, 900, 950, 780, 750, 1050, 980, 900, 1100, 820, 880]","[""Trekking"", ""Nature"", ""Aventure"", ""Culture"", ""Lacs"", ""Montagnes"", ""Parapente""]"
Eindhoven,Netherlands,Paris (CDG),"Eindhoven bénéficie d'un climat sub-océanique, humide et pluvieux, influencé par les courants de l'Atlantique et de la mer du Nord. Les hivers sont généralement froids et gris, tandis que les étés sont doux ou agréablement chauds. Le vent peut être fréquent et intense, surtout de novembre à mars.",120,Mai à Septembre,"[130, 136, 139, 220, 180, 220, 240, 250, 150, 160, 162, 150]","[""Design"", ""Innovation"", ""Art"", ""Philips"", ""Cyclisme"", ""Modernité"", ""Festivals""]"
Port Moresby,Papua New Guinea,Paris (CDG),"Port Moresby a un climat tropical de savane, avec des températures constamment chaudes (entre 24°C et 31°C en plaine) et une forte humidité tout au long de l'année. La saison sèche s'étend de mi-mai à novembre, tandis que la saison des pluies va de décembre à mi-avril, avec des précipitations fortes à torrentielles, particulièrement en mars.",120,Mai à Octobre,"[2000, 2050, 2100, 2200, 1900, 1350, 2150, 2250, 1800, 1700, 1381, 1874]","[""Culture"", ""Nature"", ""Aventure"", ""Plongée"", ""Faune_Flore"", ""Randonnée""]"
Cebu,Philippines,Paris (CDG),"Cebu bénéficie d'un climat tropical humide, chaud toute l'année. Les températures varient de 30°C en janvier à 33°C en mai, avec une température de la mer agréable entre 27°C et 30°C. La saison relativement sèche s'étend de novembre à avril, tandis que la saison des pluies va de mai à janvier.",73,"De janvier à mai (saison sèche), et de nouveau en décembre.","[880, 950, 1050, 1000, 850, 900, 1100, 1050, 1000, 950, 900, 1000]","[""Plages"", ""Plongée"", ""Nature"", ""Culture"", ""Aventure""]"
